"Afghanistan",93,0.2763
"Afghanistan, Mobile",9370; 9379,0.2684
"Albania",355,0.1211
"Albania, Eagle Mobile",35567,0.3776
"Albania, Mobile, AMC",35568,0.3829
"Albania, Mobile, Plus Communication",35566,0.3790
"Albania, Mobile, Vodafone",35569,0.3658
"Albania, Tirana",3554,0.1171
"Algeria",213,0.0750
"Algeria, Algiers",21321,0.0697
"Algeria, Mobile",2136,0.2882
"Algeria, Mobile Orascom",2137,0.3618
"Algeria, Mobile Wataniya",2135,0.4342
"American Samoa",684,0.1316
"Andorra",376,0.0500
"Andorra, Mobile",3763; 3764; 3766,0.3553
"Angola",244,0.1211
"Angola, Mobile",2449,0.1474
"Anguilla",1264,0.2400
"Antarctica",672,1.2105
"Antigua",1268,0.1500
"Antigua, Mobile",12684; 12687,0.1605
"Argentina",54,0.0329
"Argentina, Buenos Aires",5411,0.0158
"Argentina, La Plata",54221,0.0237
"Argentina, Mar Del Plata",54223,0.0237
"Argentina, Mendoza",54261,0.0237
"Argentina, Mobile",549,0.2000
"Armenia",374,0.1263
"Armenia, Gumri",374312,0.1132
"Armenia, Mobile",37455; 3749; 37494,0.1908
"Armenia, Mobile, VivaCell",37477,0.1763
"Armenia, Nagornyj Karabah",37447,0.1316
"Armenia, Nagornyj Karabah mobile",37497,0.1724
"Armenia, Yerevan",3741,0.1132
"Aruba",297,0.2355
"Aruba, Mobile",297127; 29756; 29759; 297600; 297622; 29773; 29774; 2979; 297900; 29799,0.2487
"Ascension Island",247,0.8829
"Australia",61,0.0500
"Australia Melbourne",6138; 6139,0.0342
"Australia Mobile",61140; 61144; 61146; 61148; 61149; 6115; 61170; 61171; 61172; 61174; 61177; 61178; 61179; 611801; 611802; 611803; 611804; 611805; 611806; 611807; 611808; 611809; 61181; 61182; 61183; 61184; 61185; 61186; 61187; 61188; 61189; 61191; 61193; 61194; 61196; 61199,0.2500
"Australia Mobile, Hutchinson",61430; 61433,0.1566
